Participant: 33
MachineID: W0008408
Start Time: Mon, Dec 16, 2013 12:12:48
Seed: 50743
subject	trial	cond	totalTime	trialTime	prevTarget	curTarget	nextTarget	hitTargetPos	timeTargetHit	objTouched	Correct	xPos	yPos
33	0	No Que	16	16	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	32	32	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	48	48	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	64	64	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	80	80	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	96	96	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	112	112	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	128	128	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	144	144	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	160	160	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	176	176	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	192	192	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	208	208	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	224	224	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	240	240	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	256	256	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	272	272	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	288	288	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	304	304	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	320	320	-1	1	2	-1	-1	-1	-1	512	384	0
33	0	No Que	336	336	-1	1	2	-1	-1	-1	-1	513	384	0
33	0	No Que	352	352	-1	1	2	-1	-1	-1	-1	516	380	0
33	0	No Que	368	368	-1	1	2	-1	-1	-1	-1	520	373	0
33	0	No Que	384	384	-1	1	2	-1	-1	-1	-1	527	364	0
33	0	No Que	400	400	-1	1	2	-1	-1	-1	-1	534	354	0
33	0	No Que	416	416	-1	1	2	-1	-1	-1	-1	541	345	0
33	0	No Que	432	432	-1	1	2	-1	-1	-1	-1	547	337	0
33	0	No Que	448	448	-1	1	2	-1	-1	-1	-1	549	332	0
33	0	No Que	464	464	-1	1	2	-1	-1	-1	-1	551	329	0
33	0	No Que	480	480	-1	1	2	-1	-1	-1	-1	552	327	0
33	0	No Que	496	496	-1	1	2	-1	-1	-1	-1	553	326	0
33	0	No Que	512	512	-1	1	2	-1	-1	-1	-1	554	325	0
33	0	No Que	528	528	-1	1	2	-1	-1	-1	-1	555	324	0
33	0	No Que	544	544	-1	1	2	-1	-1	-1	-1	557	323	0
33	0	No Que	560	560	-1	1	2	-1	-1	-1	-1	560	321	0
33	0	No Que	576	576	-1	1	2	-1	-1	-1	-1	563	320	0
33	0	No Que	592	592	-1	1	2	-1	-1	-1	-1	567	318	0
33	0	No Que	608	608	-1	1	2	-1	-1	-1	-1	571	315	0
33	0	No Que	624	624	-1	1	2	-1	-1	-1	-1	576	310	0
33	0	No Que	640	640	-1	1	2	-1	-1	-1	-1	579	306	0
33	0	No Que	656	656	-1	1	2	-1	-1	-1	-1	583	302	0
33	0	No Que	672	672	-1	1	2	-1	-1	-1	-1	587	297	0
33	0	No Que	688	688	-1	1	2	-1	-1	-1	-1	591	292	0
33	0	No Que	704	704	-1	1	2	-1	-1	-1	-1	596	286	0
33	0	No Que	720	720	-1	1	2	-1	-1	-1	-1	601	279	0
33	0	No Que	736	736	-1	1	2	-1	-1	-1	-1	607	273	0
33	0	No Que	752	752	-1	1	2	-1	-1	-1	-1	611	266	0
33	0	No Que	768	768	-1	1	2	-1	-1	-1	-1	615	260	0
33	0	No Que	784	784	-1	1	2	-1	-1	-1	-1	620	252	0
33	0	No Que	800	800	-1	1	2	-1	-1	-1	-1	624	242	0
33	0	No Que	816	816	-1	1	2	-1	-1	-1	-1	630	232	0
33	0	No Que	832	832	-1	1	2	-1	-1	-1	-1	635	222	0
33	0	No Que	848	848	-1	1	2	-1	-1	-1	-1	642	213	0
