Participant: 37
MachineID: W0008408
Start Time: Tue, Dec 17, 2013 11:15:54
Seed: 75608
subject	trial	cond	totalTime	trialTime	prevTarget	curTarget	nextTarget	hitTargetPos	timeTargetHit	objTouched	Correct	xPos	yPos
37	0	Misaligned Que	16	16	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	32	32	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	48	48	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	64	64	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	80	80	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	96	96	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	112	112	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	128	128	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	144	144	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	160	160	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	176	176	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	192	192	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	208	208	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	224	224	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	240	240	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	256	256	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	272	272	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	288	288	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	304	304	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	320	320	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	336	336	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	352	352	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	368	368	-1	1	2	-1	-1	-1	-1	512	384	0
37	0	Misaligned Que	384	384	-1	1	2	-1	-1	-1	-1	512	383	0
37	0	Misaligned Que	400	400	-1	1	2	-1	-1	-1	-1	512	383	0
37	0	Misaligned Que	416	416	-1	1	2	-1	-1	-1	-1	512	383	0
37	0	Misaligned Que	432	432	-1	1	2	-1	-1	-1	-1	511	383	0
37	0	Misaligned Que	448	448	-1	1	2	-1	-1	-1	-1	511	383	0
37	0	Misaligned Que	464	464	-1	1	2	-1	-1	-1	-1	511	383	0
37	0	Misaligned Que	480	480	-1	1	2	-1	-1	-1	-1	511	383	0
37	0	Misaligned Que	496	496	-1	1	2	-1	-1	-1	-1	512	383	0
37	0	Misaligned Que	512	512	-1	1	2	-1	-1	-1	-1	514	382	0
37	0	Misaligned Que	528	528	-1	1	2	-1	-1	-1	-1	519	381	0
37	0	Misaligned Que	544	544	-1	1	2	-1	-1	-1	-1	529	375	0
37	0	Misaligned Que	560	560	-1	1	2	-1	-1	-1	-1	545	365	0
37	0	Misaligned Que	576	576	-1	1	2	-1	-1	-1	-1	565	350	0
37	0	Misaligned Que	592	592	-1	1	2	-1	-1	-1	-1	590	330	0
37	0	Misaligned Que	608	608	-1	1	2	-1	-1	-1	-1	616	307	0
37	0	Misaligned Que	624	624	-1	1	2	-1	-1	-1	-1	636	285	0
37	0	Misaligned Que	640	640	-1	1	2	-1	-1	-1	-1	654	264	0
37	0	Misaligned Que	656	656	-1	1	2	-1	-1	-1	-1	669	244	0
37	0	Misaligned Que	672	672	-1	1	2	-1	-1	-1	-1	681	228	0
37	0	Misaligned Que	688	688	-1	1	2	-1	-1	-1	-1	688	217	0
37	0	Misaligned Que	704	704	-1	1	2	-1	-1	-1	-1	690	211	0
37	0	Misaligned Que	720	720	-1	1	2	-1	-1	-1	-1	690	209	0
37	0	Misaligned Que	736	736	-1	1	2	-1	-1	-1	-1	687	209	0
37	0	Misaligned Que	752	752	-1	1	2	-1	-1	-1	-1	686	209	0
37	0	Misaligned Que	768	768	-1	1	2	-1	-1	-1	-1	684	210	0
37	0	Misaligned Que	784	784	-1	1	2	-1	-1	-1	-1	683	211	0
37	0	Misaligned Que	800	800	-1	1	2	-1	-1	-1	-1	682	213	0
37	0	Misaligned Que	816	816	-1	1	2	-1	-1	-1	-1	681	215	0
37	0	Misaligned Que	832	832	-1	1	2	-1	-1	-1	-1	681	217	0
37	0	Misaligned Que	848	848	-1	1	2	-1	-1	-1	-1	681	218	0
37	0	Misaligned Que	864	864	-1	1	2	-1	-1	-1	-1	682	216	0
37	0	Misaligned Que	880	880	-1	1	2	-1	-1	-1	-1	689	208	0
37	0	Misaligned Que	896	896	-1	1	2	-1	-1	-1	-1	700	193	0
37	0	Misaligned Que	912	912	-1	1	2	-1	-1	-1	-1	717	175	0
37	0	Misaligned Que	928	928	-1	1	2	1	118186	1	1	737	156	15
37	0	Misaligned Que	944	944	-1	1	2	1	118186	1	0	757	138	15
37	0	Misaligned Que	960	960	-1	1	2	1	118186	1	0	774	121	15
37	0	Misaligned Que	976	976	-1	1	2	1	118186	1	0	784	106	15
37	0	Misaligned Que	992	992	-1	1	2	1	118186	1	0	788	97	15
37	0	Misaligned Que	1008	1008	-1	1	2	1	118186	1	0	788	92	15
37	0	Misaligned Que	1024	1024	-1	1	2	1	118186	1	0	788	91	15
37	0	Misaligned Que	1040	1040	-1	1	2	1	118186	1	0	785	91	15
37	0	Misaligned Que	1056	1056	-1	1	2	1	118186	1	0	779	95	15
37	0	Misaligned Que	1072	1072	-1	1	2	1	118186	1	0	773	101	15
37	0	Misaligned Que	1088	1088	-1	1	2	1	118186	1	0	767	107	15
37	0	Misaligned Que	1104	1104	-1	1	2	1	118186	1	0	760	114	15
37	0	Misaligned Que	1120	1120	-1	1	2	1	118186	1	0	755	121	15
37	0	Misaligned Que	1136	1136	-1	1	2	1	118186	1	0	750	128	15
37	0	Misaligned Que	1152	1152	-1	1	2	1	118186	1	0	746	134	15
37	0	Misaligned Que	1168	1168	-1	1	2	1	118186	1	0	744	139	15
37	0	Misaligned Que	1184	1184	-1	1	2	1	118186	1	0	742	142	15
37	0	Misaligned Que	1200	1200	-1	1	2	1	118186	1	0	739	148	15
37	0	Misaligned Que	1216	1216	-1	1	2	1	118186	1	0	735	157	15
37	0	Misaligned Que	1232	1232	-1	1	2	1	118186	1	0	728	171	15
37	0	Misaligned Que	1248	1248	-1	1	2	1	118186	1	0	721	186	15
37	0	Misaligned Que	1264	1264	-1	1	2	1	118186	1	0	710	205	15
37	0	Misaligned Que	1280	1280	-1	1	2	1	118186	1	0	699	224	15
37	0	Misaligned Que	1296	1296	-1	1	2	1	118186	1	0	689	241	15
37	0	Misaligned Que	1312	1312	-1	1	2	1	118186	1	0	680	255	15
37	0	Misaligned Que	1328	1328	-1	1	2	1	118186	1	0	672	267	15
37	0	Misaligned Que	1344	1344	-1	1	2	1	118186	1	0	664	276	15
37	0	Misaligned Que	1360	1360	-1	1	2	1	118186	1	0	656	284	15
37	0	Misaligned Que	1376	1376	-1	1	2	1	118186	1	0	647	290	15
37	0	Misaligned Que	1392	1392	-1	1	2	1	118186	1	0	639	293	15
37	0	Misaligned Que	1408	1408	-1	1	2	1	118186	1	0	633	293	15
37	0	Misaligned Que	1424	1424	-1	1	2	1	118186	1	0	628	293	15
37	0	Misaligned Que	1440	1440	1	2	0	1	118186	1	0	623	290	15
37	0	Misaligned Que	1456	1456	1	2	0	1	118186	1	0	618	285	15
37	0	Misaligned Que	1472	1472	1	2	0	1	118186	1	0	613	278	15
37	0	Misaligned Que	1488	1488	1	2	0	1	118186	1	0	610	272	15
37	0	Misaligned Que	1504	1504	1	2	0	1	118186	1	0	609	269	15
37	0	Misaligned Que	1520	1520	1	2	0	1	118186	1	0	609	268	15
37	0	Misaligned Que	1536	1536	1	2	0	1	118186	1	0	608	268	15
37	0	Misaligned Que	1552	1552	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1568	1568	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1584	1584	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1600	1600	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1616	1616	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1632	1632	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1648	1648	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1664	1664	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1680	1680	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1696	1696	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1712	1712	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1728	1728	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1744	1744	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1760	1760	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1776	1776	1	2	0	1	118186	1	0	608	269	15
37	0	Misaligned Que	1792	1792	1	2	0	1	118186	1	0	608	269	15
